repo_name,stars,forks,watchers,language,url
qier222/YesPlayMusic,32875,4702,32875,Vue,https://api.github.com/repos/qier222/YesPlayMusic
microsoft/playwright-mcp,32858,2692,32858,TypeScript,https://api.github.com/repos/microsoft/playwright-mcp
AstrBotDevs/AstrBot,32814,2259,32814,Python,https://api.github.com/repos/AstrBotDevs/AstrBot
binarywang/WxJava,32801,9064,32801,Java,https://api.github.com/repos/binarywang/WxJava
tinygrad/tinygrad,32732,4127,32732,Python,https://api.github.com/repos/tinygrad/tinygrad
open-mmlab/mmdetection,32709,9835,32709,Python,https://api.github.com/repos/open-mmlab/mmdetection
langchain-ai/langgraph,32684,5532,32684,Python,https://api.github.com/repos/langchain-ai/langgraph
yewstack/yew,32648,1456,32648,Rust,https://api.github.com/repos/yewstack/yew
apache/kafka,32645,15207,32645,Java,https://api.github.com/repos/apache/kafka
nicolargo/glances,32615,1743,32615,Python,https://api.github.com/repos/nicolargo/glances
floating-ui/floating-ui,32596,1677,32596,TypeScript,https://api.github.com/repos/floating-ui/floating-ui
0xAX/linux-insides,32561,3523,32561,Python,https://api.github.com/repos/0xAX/linux-insides
valinet/ExplorerPatcher,32547,1319,32547,C,https://api.github.com/repos/valinet/ExplorerPatcher
ziadoz/awesome-php,32540,5143,32540,,https://api.github.com/repos/ziadoz/awesome-php
kepano/obsidian-skills,32459,2253,32459,,https://api.github.com/repos/kepano/obsidian-skills
vbenjs/vue-vben-admin,32429,8780,32429,Vue,https://api.github.com/repos/vbenjs/vue-vben-admin
seaweedfs/seaweedfs,32429,2816,32429,Go,https://api.github.com/repos/seaweedfs/seaweedfs
beego/beego,32401,5589,32401,Go,https://api.github.com/repos/beego/beego
labstack/echo,32398,2323,32398,Go,https://api.github.com/repos/labstack/echo
vercel/swr,32386,1340,32386,TypeScript,https://api.github.com/repos/vercel/swr
microsoft/WSL,32370,1726,32370,C++,https://api.github.com/repos/microsoft/WSL
aristocratos/btop,32370,1024,32370,C++,https://api.github.com/repos/aristocratos/btop
yunjey/pytorch-tutorial,32362,8245,32362,Python,https://api.github.com/repos/yunjey/pytorch-tutorial
lovell/sharp,32253,1406,32253,JavaScript,https://api.github.com/repos/lovell/sharp
