repo_name,stars,forks,language,open_issues_count,size,has_wiki,has_pages,has_discussions,archived,repo_age_days,commits
Significant-Gravitas/AutoGPT,184447,46227,Python,427,582139,True,False,False,False,1163,8606
CyC2018/CS-Notes,184406,50982,,196,116179,True,True,False,False,3019,3781
jackfrued/Python-100-Days,182699,55697,Jupyter Notebook,698,401142,True,False,False,False,3003,472
flutter/flutter,176413,30394,Dart,12740,443996,True,False,False,False,4094,89682
massgravel/Microsoft-Activation-Scripts,176038,16912,Batchfile,2,12955,False,False,True,False,2321,520
twbs/bootstrap,174266,78875,MDX,445,295243,False,True,True,False,5410,23229
github/gitignore,174040,82499,,62,3137,False,False,True,False,5673,4215
avelino/awesome-go,173344,13243,Go,186,11340,False,True,True,False,4338,5386
ollama/ollama,172002,16235,Go,3265,84743,False,False,False,False,1060,5393
DigitalPlatDev/FreeDomain,164220,2874,HTML,33,972,True,False,True,False,722,73
yt-dlp/yt-dlp,163960,13792,Python,2516,60601,True,False,False,False,2034,23824
anomalyco/opencode,163867,19364,TypeScript,5990,273483,False,False,False,False,386,13294
AUTOMATIC1111/stable-diffusion-webui,163210,30355,Python,2486,36552,True,False,True,False,1369,7689
f/prompts.chat,162663,21167,HTML,48,372962,True,True,False,False,1264,6764
NousResearch/hermes-agent,162471,26499,Python,13048,240980,True,True,False,False,303,9204
jlevy/the-art-of-command-line,161031,14811,,254,2772,False,False,False,False,4019,1218
huggingface/transformers,160869,33297,Python,2379,498953,True,False,False,False,2762,22910
521xueweihan/HelloGitHub,158091,12036,Python,386,9838,False,False,True,False,3670,225
Snailclimb/JavaGuide,155820,46139,JavaScript,62,181003,True,False,True,False,2937,6195
langflow-ai/langflow,148651,9089,Python,933,1291059,True,True,True,False,1198,17701
airbnb/javascript,148125,26674,JavaScript,159,3738,True,True,False,False,4949,1996
multica-ai/andrej-karpathy-skills,144981,14840,,102,20,True,False,False,False,115,28
langgenius/dify,142248,22369,TypeScript,820,373966,False,False,True,False,1136,10737
Genymobile/scrcpy,142177,13119,C,2804,8693,True,False,False,False,3103,3097
ytdl-org/youtube-dl,140349,10674,Python,4124,65510,False,True,False,False,5681,18977
yangshun/tech-interview-handbook,139660,16586,TypeScript,45,33749,True,False,True,False,3608,1335
vercel/next.js,139558,31113,JavaScript,3922,2475861,False,False,True,False,3515,34065
anthropics/skills,139165,16416,Python,867,3734,False,False,True,False,241,36
open-webui/open-webui,138204,19766,Python,273,369912,True,False,True,False,958,16562
x1xhlol/system-prompts-and-models-of-ai-tools,138056,34409,,148,1437,True,False,True,False,442,497
langchain-ai/langchain,137380,22723,Python,583,561546,False,False,True,False,1313,16039
golang/go,134016,19038,Go,10102,440027,True,False,True,False,4294,66437
labuladong/fucking-algorithm,133491,23611,Markdown,1,126234,False,False,False,False,2284,518
microsoft/PowerToys,133371,7999,C#,6980,500413,True,False,False,False,2577,9198
Chalarangelo/30-seconds-of-code,127891,12485,JavaScript,1,742614,False,False,False,False,3095,10199
krahets/hello-algo,126309,15128,Java,37,464747,False,True,True,False,1295,2161
facebook/react-native,125867,25151,C++,1299,968882,True,True,False,False,4150,40702
anthropics/claude-code,125687,20638,Shell,11317,28175,False,False,False,False,453,635
microsoft/markitdown,124547,8464,Python,666,4274,True,False,True,False,554,308
excalidraw/excalidraw,123821,13738,TypeScript,3085,100984,False,False,True,False,2332,3995
firecrawl/firecrawl,122908,7454,TypeScript,330,89388,False,False,True,False,766,5475
ripienaar/free-for-dev,122546,12863,HTML,14,10144,False,True,False,False,4082,6983
kubernetes/kubernetes,122400,43135,Go,2724,1474238,False,False,False,False,4367,138050
electron/electron,121379,17200,C++,865,201918,False,False,False,False,4788,30529
clash-verge-rev/clash-verge-rev,120101,8747,TypeScript,343,75856,True,False,True,False,912,4341
nodejs/node,117334,35599,JavaScript,2561,1486439,False,False,False,False,4194,46891
justjavac/free-programming-books-zh_CN,116979,28299,,32,1059,False,False,False,False,4582,924
iptv-org/iptv,116416,6160,TypeScript,18,1238642,False,True,True,False,2745,33923
shadcn-ui/ui,114858,8873,TypeScript,1944,63446,False,False,True,False,1234,2147
rustdesk/rustdesk,114753,17294,Rust,116,71491,True,False,True,False,2061,11126
Comfy-Org/ComfyUI,113991,13348,Python,4023,88850,True,False,True,False,1221,5285
rust-lang/rust,112985,14955,Rust,12437,903036,False,False,False,False,5818,327360
d3/d3,112933,22729,Shell,29,59349,False,True,True,False,5715,4510
Hack-with-Github/Awesome-Hacking,112820,10333,,31,1334,False,False,False,False,3704,139
